method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Adaptive Lasso,beta_adaptive_lasso,0.6,20.0,40.0,2.0,36,-0.4876237304184937,0.4876237304184937,0.06683559299152118,0.06683559299152118,300
Adaptive Lasso,beta_adaptive_lasso,0.6,20.0,40.0,2.0,72,-0.4889947402128067,0.4889947402128067,0.0479646259358526,0.0479646259358526,300
Adaptive Lasso,beta_adaptive_lasso,0.6,30.0,30.0,1.0,36,-0.4995584741645311,0.4995584741645311,0.05386297177169749,0.05386297177169749,300
Adaptive Lasso,beta_adaptive_lasso,0.6,30.0,30.0,1.0,72,-0.5010546564838552,0.5010546564838552,0.03885545027462026,0.03885545027462026,300
Adaptive Lasso,beta_adaptive_lasso,0.6,40.0,20.0,0.5,36,-0.5121233119124347,0.5121233119124347,0.043320425571048524,0.043320425571048524,300
Adaptive Lasso,beta_adaptive_lasso,0.6,40.0,20.0,0.5,72,-0.5140258361893896,0.5140258361893896,0.03136204932694623,0.03136204932694623,300
Adaptive Lasso,beta_adaptive_lasso,1.0,20.0,40.0,2.0,36,-0.5016019159385536,0.5049493013971849,0.19329921896007085,0.18434751023695164,300
Adaptive Lasso,beta_adaptive_lasso,1.0,20.0,40.0,2.0,72,-0.5053069485371728,0.5053069485371728,0.14017172627290095,0.14017172627290095,300
Adaptive Lasso,beta_adaptive_lasso,1.0,30.0,30.0,1.0,36,-0.5541225883831297,0.5546881332193967,0.1660848647035702,0.16417978816161882,300
Adaptive Lasso,beta_adaptive_lasso,1.0,30.0,30.0,1.0,72,-0.554703099328012,0.554703099328012,0.11949362079086785,0.11949362079086785,300
Adaptive Lasso,beta_adaptive_lasso,1.0,40.0,20.0,0.5,36,-0.6117985785083772,0.6117985785083772,0.14348983224846126,0.14348983224846126,300
Adaptive Lasso,beta_adaptive_lasso,1.0,40.0,20.0,0.5,72,-0.6099741600218712,0.6099741600218712,0.10281176330877655,0.10281176330877655,300
Adaptive Lasso,beta_adaptive_lasso,1.4,20.0,40.0,2.0,36,-0.07109076656934814,0.3761210908283769,0.4652229832648253,0.28206916690624784,300
Adaptive Lasso,beta_adaptive_lasso,1.4,20.0,40.0,2.0,72,-0.04165026093271269,0.28877036427300545,0.349832558102161,0.20113714417920958,300
Adaptive Lasso,beta_adaptive_lasso,1.4,30.0,30.0,1.0,36,-0.1951328942222609,0.3748907985815845,0.41476381762583564,0.2630970608375194,300
Adaptive Lasso,beta_adaptive_lasso,1.4,30.0,30.0,1.0,72,-0.1762719762103176,0.3015505534618346,0.3087849509137533,0.1878483841999892,300
Adaptive Lasso,beta_adaptive_lasso,1.4,40.0,20.0,0.5,36,-0.33786713150615716,0.42300265383399105,0.37040683312235895,0.2687145879637676,300
Adaptive Lasso,beta_adaptive_lasso,1.4,40.0,20.0,0.5,72,-0.32811811461860574,0.36706825269173327,0.2731087064207289,0.21776179641455273,300
Clustered SE,beta_clustered,0.6,20.0,40.0,2.0,36,-0.03385893086542164,0.08926422445717007,0.10620090298095822,0.06658935545766996,300
Clustered SE,beta_clustered,0.6,20.0,40.0,2.0,72,-0.03240039383806184,0.06370576723144838,0.07510306805115768,0.051203215078316974,300
Clustered SE,beta_clustered,0.6,30.0,30.0,1.0,36,-0.06804298259334186,0.09188868934053689,0.09119928741897607,0.06701396482867997,300
Clustered SE,beta_clustered,0.6,30.0,30.0,1.0,72,-0.06980473189392714,0.07742529587705446,0.06361940745825383,0.05405275877225374,300
Clustered SE,beta_clustered,0.6,40.0,20.0,0.5,36,-0.10986082017614751,0.11643537732004146,0.07905334117276788,0.06896852585093925,300
Clustered SE,beta_clustered,0.6,40.0,20.0,0.5,72,-0.1145213850799635,0.11474071209694849,0.054945714180927537,0.054484676406842465,300
Clustered SE,beta_clustered,1.0,20.0,40.0,2.0,36,-0.05076288364812342,0.09901565569425957,0.11224433795906716,0.07312585282056037,300
Clustered SE,beta_clustered,1.0,20.0,40.0,2.0,72,-0.054079379997997216,0.07688561265634082,0.07568181185217404,0.052258293069001364,300
Clustered SE,beta_clustered,1.0,30.0,30.0,1.0,36,-0.11349544327456317,0.1305199199634462,0.10268888118864486,0.07985536110907707,300
Clustered SE,beta_clustered,1.0,30.0,30.0,1.0,72,-0.1157769348637981,0.11898753238589826,0.06870485214324937,0.06296111213259507,300
Clustered SE,beta_clustered,1.0,40.0,20.0,0.5,36,-0.18885094328448995,0.19265383714766485,0.09511224107254958,0.08712441658596133,300
Clustered SE,beta_clustered,1.0,40.0,20.0,0.5,72,-0.18966259367650135,0.18966259367650135,0.0638331064882672,0.0638331064882672,300
Clustered SE,beta_clustered,1.4,20.0,40.0,2.0,36,-0.07809740191576602,0.11463861001346104,0.11691786392376793,0.08126146471204229,300
Clustered SE,beta_clustered,1.4,20.0,40.0,2.0,72,-0.08083510142433968,0.09560768093352888,0.08519176650861006,0.06813519360857075,300
Clustered SE,beta_clustered,1.4,30.0,30.0,1.0,36,-0.1606178276578678,0.1697181757792398,0.11426202329454552,0.10019772078248579,300
Clustered SE,beta_clustered,1.4,30.0,30.0,1.0,72,-0.16801420426611252,0.16926000256900434,0.08168756197194299,0.0790650167694607,300
Clustered SE,beta_clustered,1.4,40.0,20.0,0.5,36,-0.2614881543346425,0.26157253957406046,0.11374698532817354,0.11355214858654163,300
Clustered SE,beta_clustered,1.4,40.0,20.0,0.5,72,-0.2717725641920667,0.2717725641920667,0.08175675808237695,0.08175675808237695,300
Deming,beta_deming,0.6,20.0,40.0,2.0,36,-0.2368468735491217,0.23889563890655818,0.11914464740552799,0.11496739716761285,300
Deming,beta_deming,0.6,20.0,40.0,2.0,72,-0.23669138253613833,0.23710388782946434,0.08567780890457795,0.08452567790915229,300
Deming,beta_deming,0.6,30.0,30.0,1.0,36,-0.11866711595527311,0.1321680120300635,0.10603037015456417,0.08856982734928605,300
Deming,beta_deming,0.6,30.0,30.0,1.0,72,-0.12713757700391073,0.1286294399871587,0.0736041078460618,0.07095575519416662,300
Deming,beta_deming,0.6,40.0,20.0,0.5,36,-0.026406250941412582,0.0890315356166787,0.11117481320513806,0.07145863491388656,300
Deming,beta_deming,0.6,40.0,20.0,0.5,72,-0.04636538508347739,0.06959170592787198,0.07193525040688224,0.04972339594126044,300
Deming,beta_deming,1.0,20.0,40.0,2.0,36,-0.21690049116574514,0.2196289300668245,0.12394448584826932,0.11902608240874415,300
Deming,beta_deming,1.0,20.0,40.0,2.0,72,-0.2295377266240329,0.2296516684734198,0.08219485266895413,0.0818748919396192,300
Deming,beta_deming,1.0,30.0,30.0,1.0,36,-0.10029750941574987,0.1310065183006437,0.1220386777981725,0.08812811804892604,300
Deming,beta_deming,1.0,30.0,30.0,1.0,72,-0.11752104239954311,0.12371521873481359,0.07896309793919717,0.06881797273492574,300
Deming,beta_deming,1.0,40.0,20.0,0.5,36,-0.009053076107557421,0.11101263612782344,0.14585819026679978,0.09482521733227936,300
Deming,beta_deming,1.0,40.0,20.0,0.5,72,-0.032559961518959846,0.08101076628722437,0.09309920402722642,0.05609336242880742,300
Deming,beta_deming,1.4,20.0,40.0,2.0,36,-0.21040419830348134,0.2155724344137829,0.12935749424105525,0.1205174280541982,300
Deming,beta_deming,1.4,20.0,40.0,2.0,72,-0.2259022814144393,0.22614269082071625,0.09380518477639466,0.09322217205752052,300
Deming,beta_deming,1.4,30.0,30.0,1.0,36,-0.08391630693850573,0.1317844135460791,0.13797029193571558,0.0931454989881772,300
Deming,beta_deming,1.4,30.0,30.0,1.0,72,-0.11578303381042128,0.12567989561164303,0.09549399674767861,0.08198405808522519,300
Deming,beta_deming,1.4,40.0,20.0,0.5,36,0.0204568942161093,0.14373464187624116,0.1825047189670218,0.11401365485943624,300
Deming,beta_deming,1.4,40.0,20.0,0.5,72,-0.032430187384828384,0.10073086838512504,0.12024306187332932,0.07302729015555054,300
Elastic Net,beta_enet,0.6,20.0,40.0,2.0,36,-0.1409701130000737,0.14688951531699143,0.09214285735203787,0.08234470448980069,300
Elastic Net,beta_enet,0.6,20.0,40.0,2.0,72,-0.134886723220551,0.13633732142813992,0.0684224231667423,0.06547423184581078,300
Elastic Net,beta_enet,0.6,30.0,30.0,1.0,36,-0.1549967714002853,0.1570384767934392,0.08069769722966337,0.07663487178299404,300
Elastic Net,beta_enet,0.6,30.0,30.0,1.0,72,-0.1509579318211496,0.15131733788038026,0.059866776692661425,0.0589493684873807,300
Elastic Net,beta_enet,0.6,40.0,20.0,0.5,36,-0.17275915832130645,0.17334996029644814,0.07189230677036271,0.0704509612123683,300
Elastic Net,beta_enet,0.6,40.0,20.0,0.5,72,-0.17075690343799818,0.17075690343799818,0.05320671490319771,0.05320671490319771,300
Elastic Net,beta_enet,1.0,20.0,40.0,2.0,36,-0.22697843453536165,0.2277918952993675,0.10409748887163926,0.1022991305886446,300
Elastic Net,beta_enet,1.0,20.0,40.0,2.0,72,-0.2222468015286215,0.2222468015286215,0.07356339391651219,0.07356339391651219,300
Elastic Net,beta_enet,1.0,30.0,30.0,1.0,36,-0.25425140458297724,0.25439045183924575,0.09603635798195002,0.09566619183685268,300
Elastic Net,beta_enet,1.0,30.0,30.0,1.0,72,-0.2485691137108152,0.2485691137108152,0.06749555347610214,0.06749555347610214,300
Elastic Net,beta_enet,1.0,40.0,20.0,0.5,36,-0.28791877847954134,0.28791877847954134,0.09082090639343464,0.09082090639343464,300
Elastic Net,beta_enet,1.0,40.0,20.0,0.5,72,-0.2810947958737953,0.2810947958737953,0.06370309542952658,0.06370309542952658,300
Elastic Net,beta_enet,1.4,20.0,40.0,2.0,36,-0.3223297855546461,0.3226403653922626,0.12848276271436498,0.12769822097842654,300
Elastic Net,beta_enet,1.4,20.0,40.0,2.0,72,-0.3075390572923435,0.3075390572923435,0.09568677556784966,0.09568677556784966,300
Elastic Net,beta_enet,1.4,30.0,30.0,1.0,36,-0.356900796197953,0.356900796197953,0.12363991817807148,0.12363991817807148,300
Elastic Net,beta_enet,1.4,30.0,30.0,1.0,72,-0.3447436515181502,0.3447436515181502,0.09054879497570721,0.09054879497570721,300
Elastic Net,beta_enet,1.4,40.0,20.0,0.5,36,-0.4005992269735999,0.4005992269735999,0.12113694292124386,0.12113694292124386,300
Elastic Net,beta_enet,1.4,40.0,20.0,0.5,72,-0.39071088063887655,0.39071088063887655,0.08763026482808252,0.08763026482808252,300
Ensemble,beta_ensemble,0.6,20.0,40.0,2.0,36,-0.01655905066200474,0.06517173240568805,0.07979303558125359,0.04879024334571722,300
Ensemble,beta_ensemble,0.6,20.0,40.0,2.0,72,0.013833121939285735,0.047307657530228274,0.05826596771508056,0.036625384384646235,300
Ensemble,beta_ensemble,0.6,30.0,30.0,1.0,36,-0.03276257116458286,0.06113951715046189,0.069050072158098,0.04576402614544843,300
Ensemble,beta_ensemble,0.6,30.0,30.0,1.0,72,-0.006966012377394722,0.041187364077592784,0.05053174461428295,0.030001204967424176,300
Ensemble,beta_ensemble,0.6,40.0,20.0,0.5,36,-0.05116545311061908,0.06377874356544395,0.05972298408049937,0.04595825689913594,300
Ensemble,beta_ensemble,0.6,40.0,20.0,0.5,72,-0.029001279556482497,0.04228265671789936,0.04416528765430377,0.031633169399949805,300
Ensemble,beta_ensemble,1.0,20.0,40.0,2.0,36,-0.12691311950155285,0.13147881431793554,0.08464117151668434,0.07733332779893697,300
Ensemble,beta_ensemble,1.0,20.0,40.0,2.0,72,-0.08641749033932263,0.09154836535539698,0.06066062837711946,0.052569357590551244,300
Ensemble,beta_ensemble,1.0,30.0,30.0,1.0,36,-0.15800281286433068,0.15960237100628807,0.07653086622949583,0.07312486880596114,300
Ensemble,beta_ensemble,1.0,30.0,30.0,1.0,72,-0.11850899527061334,0.11925525308721664,0.05513700173321506,0.053498243975328506,300
Ensemble,beta_ensemble,1.0,40.0,20.0,0.5,36,-0.19576084847961991,0.19593930215938027,0.07066017248994545,0.07016213980977126,300
Ensemble,beta_ensemble,1.0,40.0,20.0,0.5,72,-0.1577438302455557,0.1577438302455557,0.050982583405796,0.050982583405796,300
Ensemble,beta_ensemble,1.4,20.0,40.0,2.0,36,-0.2286022336537511,0.22904725087245922,0.09735979644467484,0.09630465679042065,300
Ensemble,beta_ensemble,1.4,20.0,40.0,2.0,72,-0.16970012882241056,0.1704022401575145,0.07597659603558575,0.07438316199882897,300
Ensemble,beta_ensemble,1.4,30.0,30.0,1.0,36,-0.26947039072116835,0.26947039072116835,0.09255243726980866,0.09255243726980866,300
Ensemble,beta_ensemble,1.4,30.0,30.0,1.0,72,-0.21762245624072704,0.21762245624072704,0.07001813641390427,0.07001813641390427,300
Ensemble,beta_ensemble,1.4,40.0,20.0,0.5,36,-0.3204790438884022,0.3204790438884022,0.08979988592159138,0.08979988592159138,300
Ensemble,beta_ensemble,1.4,40.0,20.0,0.5,72,-0.2754813366171715,0.2754813366171715,0.0679332684784883,0.0679332684784883,300
Huber,beta_huber,0.6,20.0,40.0,2.0,36,-0.03334422865242978,0.0946668089936232,0.11458252160236504,0.07247712084128648,300
Huber,beta_huber,0.6,20.0,40.0,2.0,72,-0.03552767756683383,0.0663405772247671,0.07690923484308888,0.05258969712525078,300
Huber,beta_huber,0.6,30.0,30.0,1.0,36,-0.0668174038647204,0.09519241569508924,0.09828103987876333,0.0710405346890285,300
Huber,beta_huber,0.6,30.0,30.0,1.0,72,-0.07296233545353005,0.08058152577534078,0.06640976191188404,0.05688992822929028,300
Huber,beta_huber,0.6,40.0,20.0,0.5,36,-0.10775491690520203,0.11754650640895337,0.08515434897370036,0.07097764418119888,300
Huber,beta_huber,0.6,40.0,20.0,0.5,72,-0.11621998496121141,0.1166779742206127,0.058214955106314206,0.057288388839692575,300
Huber,beta_huber,1.0,20.0,40.0,2.0,36,-0.050502549162864355,0.10079866695137081,0.11440806708900085,0.07385046362995884,300
Huber,beta_huber,1.0,20.0,40.0,2.0,72,-0.05655460633568345,0.07921990397998757,0.0784401571267011,0.05536421547290387,300
Huber,beta_huber,1.0,30.0,30.0,1.0,36,-0.11142237947898631,0.12945259044683113,0.104391767646371,0.0808708195542431,300
Huber,beta_huber,1.0,30.0,30.0,1.0,72,-0.11689354916791415,0.12037332202943969,0.07249658644167316,0.06653840173837484,300
Huber,beta_huber,1.0,40.0,20.0,0.5,36,-0.18480910955318394,0.18949235196728728,0.09698739736159602,0.08745140408337185,300
Huber,beta_huber,1.0,40.0,20.0,0.5,72,-0.18828175299259362,0.18828175299259362,0.06665194033896249,0.06665194033896249,300
Huber,beta_huber,1.4,20.0,40.0,2.0,36,-0.07965499341252065,0.12033637586339146,0.12336735112993483,0.08400218742183266,300
Huber,beta_huber,1.4,20.0,40.0,2.0,72,-0.08422722803923381,0.09920095725440058,0.08841520409182525,0.0711439271554817,300
Huber,beta_huber,1.4,30.0,30.0,1.0,36,-0.16009932842123,0.1721017484107937,0.12179464330364656,0.10408353913537036,300
Huber,beta_huber,1.4,30.0,30.0,1.0,72,-0.17044738964056505,0.17170459615709477,0.08572967963759423,0.08317441684033237,300
Huber,beta_huber,1.4,40.0,20.0,0.5,36,-0.25659645412448173,0.25793050403876283,0.12202942768170236,0.119174162082994,300
Huber,beta_huber,1.4,40.0,20.0,0.5,72,-0.2710940218142233,0.2710940218142233,0.08508392340498375,0.08508392340498375,300
LMM (Random Intercept),beta_lmer_int,0.6,20.0,40.0,2.0,36,-0.03385893086542168,0.08926422445717012,0.10620090298095824,0.06658935545766996,300
LMM (Random Intercept),beta_lmer_int,0.6,20.0,40.0,2.0,72,-0.03240039383806198,0.06370576723144843,0.07510306805115771,0.05120321507831705,300
LMM (Random Intercept),beta_lmer_int,0.6,30.0,30.0,1.0,36,-0.06804298259334188,0.09188868934053689,0.09119928741897598,0.06701396482867997,300
LMM (Random Intercept),beta_lmer_int,0.6,30.0,30.0,1.0,72,-0.06980473189392726,0.07742529587705457,0.0636194074582539,0.05405275877225376,300
LMM (Random Intercept),beta_lmer_int,0.6,40.0,20.0,0.5,36,-0.10986082017614753,0.11643537732004146,0.07905334117276788,0.06896852585093924,300
LMM (Random Intercept),beta_lmer_int,0.6,40.0,20.0,0.5,72,-0.11452138507996357,0.11474071209694855,0.05494571418092757,0.05448467640684246,300
LMM (Random Intercept),beta_lmer_int,1.0,20.0,40.0,2.0,36,-0.050762883648123404,0.0990156556942596,0.11224433795906723,0.07312585282056037,300
LMM (Random Intercept),beta_lmer_int,1.0,20.0,40.0,2.0,72,-0.05407937999799729,0.07688561265634085,0.0756818118521741,0.05225829306900145,300
LMM (Random Intercept),beta_lmer_int,1.0,30.0,30.0,1.0,36,-0.11349544327456322,0.13051991996344622,0.10268888118864487,0.07985536110907702,300
LMM (Random Intercept),beta_lmer_int,1.0,30.0,30.0,1.0,72,-0.1157769348637982,0.11898753238589833,0.06870485214324933,0.06296111213259505,300
LMM (Random Intercept),beta_lmer_int,1.0,40.0,20.0,0.5,36,-0.18885094328448998,0.19265383714766487,0.09511224107254958,0.08712441658596129,300
LMM (Random Intercept),beta_lmer_int,1.0,40.0,20.0,0.5,72,-0.18966259367650146,0.18966259367650146,0.06383310648826722,0.06383310648826722,300
LMM (Random Intercept),beta_lmer_int,1.4,20.0,40.0,2.0,36,-0.07809740191576604,0.11463861001346105,0.11691786392376789,0.08126146471204226,300
LMM (Random Intercept),beta_lmer_int,1.4,20.0,40.0,2.0,72,-0.08083510142433976,0.09560768093352885,0.08519176650861002,0.0681351936085708,300
LMM (Random Intercept),beta_lmer_int,1.4,30.0,30.0,1.0,36,-0.1606178276578678,0.16971817577923984,0.11426202329454566,0.10019772078248583,300
LMM (Random Intercept),beta_lmer_int,1.4,30.0,30.0,1.0,72,-0.16801420426611266,0.16926000256900448,0.08168756197194306,0.07906501676946077,300
LMM (Random Intercept),beta_lmer_int,1.4,40.0,20.0,0.5,36,-0.2614881543346426,0.26157253957406057,0.11374698532817357,0.11355214858654167,300
LMM (Random Intercept),beta_lmer_int,1.4,40.0,20.0,0.5,72,-0.27177256419206686,0.27177256419206686,0.081756758082377,0.081756758082377,300
LMM (Random Slope),beta_lmer_slope,0.6,20.0,40.0,2.0,36,-0.03385893086542168,0.08926422445717012,0.10620090298095824,0.06658935545766996,300
LMM (Random Slope),beta_lmer_slope,0.6,20.0,40.0,2.0,72,-0.03240039383806198,0.06370576723144843,0.07510306805115771,0.05120321507831705,300
